AA,BB,CC,HH,II,JJ,KK,LL,NN,OO,PP
b,30.83,0,1.25,t,t,1,f,202,0,+
a,58.67,4.46,3.04,t,t,6,f,43,560,+
a,24.5,0.5,1.5,t,f,0,f,280,824,+
b,27.83,1.54,3.75,t,t,5,t,100,3,+
b,20.17,5.625,1.71,t,f,0,f,120,0,+
b,32.08,4,2.5,t,f,0,t,360,0,+
b,33.17,1.04,6.5,t,f,0,t,164,31285,+
a,22.92,11.585,0.04,t,f,0,f,80,1349,+
b,54.42,0.5,3.96,t,f,0,f,180,314,+
b,42.5,4.915,3.165,t,f,0,t,52,1442,+
b,22.08,0.83,2.165,f,f,0,t,128,0,+
b,29.92,1.835,4.335,t,f,0,f,260,200,+
a,38.25,6,1,t,f,0,t,0,0,+
b,48.08,6.04,0.04,f,f,0,f,0,2690,+
a,45.83,10.5,5,t,t,7,t,0,0,+
b,36.67,4.415,0.25,t,t,10,t,320,0,+
b,28.25,0.875,0.96,t,t,3,t,396,0,+
a,23.25,5.875,3.17,t,t,10,f,120,245,+
b,21.83,0.25,0.665,t,f,0,t,0,0,+
a,19.17,8.585,0.75,t,t,7,f,96,0,+
b,25,11.25,2.5,t,t,17,f,200,1208,+
b,23.25,1,0.835,t,f,0,f,300,0,+
a,47.75,8,7.875,t,t,6,t,0,1260,+
a,27.42,14.5,3.085,t,t,1,f,120,11,+
a,41.17,6.5,0.5,t,t,3,t,145,0,+
a,15.83,0.585,1.5,t,t,2,f,100,0,+
a,47,13,5.165,t,t,9,t,0,0,+
b,56.58,18.5,15,t,t,17,t,0,0,+
b,57.42,8.5,7,t,t,3,f,0,0,+
b,42.08,1.04,5,t,t,6,t,500,10000,+
b,29.25,14.79,5.04,t,t,5,t,168,0,+
b,42,9.79,7.96,t,t,8,f,0,0,+
b,49.5,7.585,7.585,t,t,15,t,0,5000,+
a,36.75,5.125,5,t,f,0,t,0,4000,+
a,22.58,10.75,0.415,t,t,5,t,0,560,+
b,27.83,1.5,2,t,t,11,t,434,35,+
b,27.25,1.585,1.835,t,t,12,t,583,713,+
a,23,11.75,0.5,t,t,2,t,300,551,+
b,27.75,0.585,0.25,t,t,2,f,260,500,+
b,54.58,9.415,14.415,t,t,11,t,30,300,+
b,34.17,9.17,4.5,t,t,12,t,0,221,+
b,28.92,15,5.335,t,t,11,f,0,2283,+
b,29.67,1.415,0.75,t,t,1,f,240,100,+
b,39.58,13.915,8.625,t,t,6,t,70,0,+
b,56.42,28,28.5,t,t,40,f,0,15,+
b,54.33,6.75,2.625,t,t,11,t,0,284,+
a,41,2.04,0.125,t,t,23,t,455,1236,+
b,31.92,4.46,6.04,t,t,3,f,311,300,+
b,41.5,1.54,3.5,f,f,0,f,216,0,+
b,23.92,0.665,0.165,f,f,0,f,100,0,+
a,25.75,0.5,0.875,t,f,0,t,491,0,+
b,26,1,1.75,t,f,0,t,280,0,+
b,37.42,2.04,0.04,t,f,0,t,400,5800,+
b,34.92,2.5,0,t,f,0,t,239,200,+
b,34.25,3,7.415,t,f,0,t,0,0,+
b,23.33,11.625,0.835,t,f,0,t,160,300,+
b,23.17,0,0.085,t,f,0,f,0,0,+
b,44.33,0.5,5,t,f,0,t,320,0,+
b,35.17,4.5,5.75,f,f,0,t,711,0,+
b,43.25,3,6,t,t,11,f,80,0,+
b,56.75,12.25,1.25,t,t,4,t,200,0,+
b,31.67,16.165,3,t,t,9,f,250,730,+
a,23.42,0.79,1.5,t,t,2,t,80,400,+
a,20.42,0.835,1.585,t,t,1,f,0,0,+
b,26.67,4.25,4.29,t,t,1,t,120,0,+
b,34.17,1.54,1.54,t,t,1,t,520,50000,+
a,36,1,2,t,t,11,f,0,456,+
b,25.5,0.375,0.25,t,t,3,f,260,15108,+
b,19.42,6.5,1.46,t,t,7,f,80,2954,+
b,35.17,25.125,1.625,t,t,1,t,515,500,+
b,32.33,7.5,1.585,t,f,0,t,420,0,-
b,34.83,4,12.5,t,f,0,t,?,0,-
a,38.58,5,13.5,t,f,0,t,980,0,-
b,44.25,0.5,10.75,t,f,0,f,400,0,-
b,44.83,7,1.625,f,f,0,f,160,2,-
b,20.67,5.29,0.375,t,t,1,f,160,0,-
b,34.08,6.5,0.125,t,f,0,t,443,0,-
a,19.17,0.585,0.585,t,f,0,t,160,0,-
b,21.67,1.165,2.5,t,t,1,f,180,20,-
b,21.5,9.75,0.25,t,f,0,f,140,0,-
b,49.58,19,0,t,t,1,f,94,0,-
a,27.67,1.5,2,t,f,0,f,368,0,-
b,39.83,0.5,0.25,t,f,0,f,288,0,-
a,0,3.5,3,t,f,0,t,300,0,-
b,27.25,0.625,0.455,t,f,0,t,200,0,-
b,37.17,4,5,t,f,0,t,280,0,-
b,0,0.375,0.875,t,f,0,t,928,0,-
b,25.67,2.21,4,t,f,0,f,188,0,-
b,34,4.5,1,t,f,0,t,240,0,-
a,49,1.5,0,t,f,0,t,100,27,-
b,62.5,12.75,5,t,f,0,f,112,0,-
b,31.42,15.5,0.5,t,f,0,f,120,0,-
b,1,5,8.5,t,f,0,f,0,0,-
b,52.33,1.375,9.46,t,f,0,t,200,100,-
b,28.75,1.5,1.5,t,f,0,t,0,225,-
a,28.58,3.54,0.5,t,f,0,t,171,0,-
b,23,0.625,0.125,t,f,0,f,180,1,-
b,8,0.5,0.835,t,f,0,t,320,0,-
a,22.5,11,3,t,f,0,t,268,0,-
a,28.5,1,1,t,t,2,t,167,500,-
b,37.5,1.75,0.25,t,f,0,t,164,400,-
b,35.25,16.5,4,t,f,0,f,80,0,-
b,18.67,5,0.375,t,t,2,f,0,38,-
b,25,12,2.25,t,t,2,t,120,5,-
b,27.83,4,5.75,t,t,2,t,75,0,-
b,54.83,15.5,0,t,t,20,f,152,130,-
b,28.75,1.165,0.5,t,f,0,f,280,0,-
a,25,11,4.5,t,f,0,f,120,0,-
b,40.92,2.25,10,t,f,0,t,176,0,-
a,19.75,0.75,0.795,t,t,5,t,140,5,-
b,29.17,3.5,3.5,t,t,3,t,329,0,-
a,24.5,1.04,0.5,t,t,3,f,180,147,-
b,24.58,12.5,0.875,t,f,0,t,260,0,-
a,33.75,0.75,1,t,t,3,t,212,0,-
b,20.67,1.25,1.375,t,t,3,t,140,210,-
a,25.42,1.125,1.29,t,t,2,f,200,0,-
b,37.75,7,11.5,t,t,7,t,300,5,-
b,52.5,6.5,6.29,t,t,15,f,0,11202,+
b,57.83,7.04,14,t,t,6,t,360,1332,+
a,20.75,10.335,0.335,t,t,1,t,80,50,+
b,39.92,6.21,0.04,t,t,1,f,200,300,+
b,25.67,12.5,1.21,t,t,67,t,140,258,+
a,24.75,12.5,1.5,t,t,12,t,120,567,+
a,44.17,6.665,7.375,t,t,3,t,0,0,+
a,23.5,9,8.5,t,t,5,t,120,0,+
b,34.92,5,7.5,t,t,6,t,0,1000,+
b,47.67,2.5,2.5,t,t,12,t,410,2510,+
b,22.75,11,2.5,t,t,7,t,100,809,+
b,34.42,4.25,3.25,t,t,2,f,274,610,+
a,28.42,3.5,0.835,t,f,0,f,280,0,+
b,67.75,5.5,13,t,t,1,t,0,0,+
b,20.42,1.835,2.25,t,t,1,f,100,150,+
a,47.42,8,6.5,t,t,6,f,375,51100,+
b,36.25,5,2.5,t,t,6,f,0,367,+
b,32.67,5.5,5.5,t,t,12,t,408,1000,+
b,48.58,6.5,6,t,f,0,t,350,0,+
b,39.92,0.54,0.5,t,t,3,f,200,1000,+
b,33.58,2.75,4.25,t,t,6,f,204,0,+
a,18.83,9.5,1.625,t,t,6,t,40,600,+
a,26.92,13.5,5,t,t,2,f,0,5000,+
a,31.25,3.75,0.625,t,t,9,t,181,0,+
a,56.5,16,0,t,t,15,f,0,247,+
b,43,0.29,1.75,t,t,8,f,100,375,+
b,22.33,11,2,t,t,1,f,80,278,+
b,27.25,1.665,5.085,t,t,9,f,399,827,+
b,32.83,2.5,2.75,t,t,6,f,160,2072,+
b,23.25,1.5,2.375,t,t,3,t,0,582,+
a,40.33,7.54,8,t,t,14,f,0,2300,+
a,30.5,6.5,4,t,t,7,t,0,3065,+
a,52.83,15,5.5,t,t,14,f,0,2200,+
a,46.67,0.46,0.415,t,t,11,t,440,6,+
a,58.33,10,4,t,t,14,f,0,1602,+
b,37.33,6.5,4.25,t,t,12,t,93,0,+
b,23.08,2.5,1.085,t,t,11,t,60,2184,+
b,32.75,1.5,5.5,t,t,3,t,0,0,+
a,21.67,11.5,0,t,t,11,t,0,0,+
a,28.5,3.04,2.54,t,t,1,f,70,0,+
a,68.67,15,0,t,t,14,f,0,3376,+
b,28,2,4.165,t,t,2,t,181,0,+
b,34.08,0.08,0.04,t,t,1,t,280,2000,+
b,27.67,2,1,t,t,4,f,140,7544,+
b,44,2,1.75,t,t,2,t,0,15,+
b,25.08,1.71,1.665,t,t,1,t,395,20,+
b,32,1.75,0.04,t,f,0,t,393,0,+
a,60.58,16.5,11,t,f,0,t,21,10561,+
a,40.83,10,1.75,t,f,0,f,29,837,+
b,19.33,9.5,1,t,f,0,t,60,400,+
a,32.33,0.54,0.04,t,f,0,f,440,11177,+
b,36.67,3.25,9,t,f,0,t,102,639,+
b,37.5,1.125,1.5,f,f,0,t,431,0,+
a,25.08,2.54,0.25,t,f,0,t,370,0,+
b,41.33,0,15,t,f,0,f,0,0,+
b,56,12.5,8,t,f,0,t,24,2028,+
a,49.83,13.585,8.5,t,f,0,t,0,0,+
b,22.67,10.5,1.335,t,f,0,f,100,0,+
b,27,1.5,0.375,t,f,0,t,260,1065,+
b,25,12.5,3,t,f,0,t,20,0,+
a,26.08,8.665,1.415,t,f,0,f,160,150,+
a,18.42,9.25,1.21,t,t,4,f,60,540,+
b,20.17,8.17,1.96,t,t,14,f,60,158,+
b,47.67,0.29,15,t,t,20,f,0,15000,+
a,21.25,2.335,0.5,t,t,4,f,80,0,+
a,20.67,3,0.165,t,t,3,f,100,6,+
a,57.08,19.5,5.5,t,t,7,f,0,3000,+
a,22.42,5.665,2.585,t,t,7,f,129,3257,+
b,48.75,8.5,12.5,t,t,9,f,181,1655,+
b,40,6.5,3.5,t,t,1,f,0,500,+
b,40.58,5,5,t,t,7,f,0,3065,+
a,28.67,1.04,2.5,t,t,5,t,300,1430,+
a,33.08,4.625,1.625,t,t,2,f,0,0,+
b,21.33,10.5,3,t,f,0,t,0,0,+
b,42,0.205,5.125,t,f,0,f,400,0,+
b,41.75,0.96,2.5,t,f,0,f,510,600,+
b,22.67,1.585,3.085,t,t,6,f,80,0,+
b,34.5,4.04,8.5,t,t,7,t,195,0,+
b,28.25,5.04,1.5,t,t,8,t,144,7,+
b,33.17,3.165,3.165,t,t,3,t,380,0,+
b,48.17,7.625,15.5,t,t,12,f,0,790,+
b,27.58,2.04,2,t,t,3,t,370,560,+
b,22.58,10.04,0.04,t,t,9,f,60,396,+
a,24.08,0.5,1.25,t,t,1,f,0,678,+
a,41.33,1,2.25,t,f,0,t,0,300,+
b,24.83,2.75,2.25,t,t,6,f,0,600,+
a,20.75,10.25,0.71,t,t,2,t,49,0,+
b,36.33,2.125,0.085,t,t,1,f,50,1187,+
a,35.42,12,14,t,t,8,f,0,6590,+
a,71.58,0,0,f,f,0,f,0,0,+
b,28.67,9.335,5.665,t,t,6,f,381,168,+
b,35.17,2.5,4.5,t,t,7,f,150,1270,+
b,39.5,4.25,6.5,t,t,16,f,117,1210,+
b,39.33,5.875,10,t,t,14,t,399,0,+
b,24.33,6.625,5.5,t,f,0,t,100,0,+
b,60.08,14.5,18,t,t,15,t,0,1000,+
b,23.08,11.5,3.5,t,t,9,f,56,742,+
b,26.67,2.71,5.25,t,t,1,f,211,0,+
b,48.17,3.5,3.5,t,f,0,f,230,0,+
b,41.17,4.04,7,t,t,8,f,320,0,+
b,55.92,11.5,5,t,t,5,f,0,8851,+
b,53.92,9.625,8.665,t,t,5,f,0,0,+
a,18.92,9.25,1,t,t,4,t,80,500,+
a,50.08,12.54,2.29,t,t,3,t,156,0,+
b,65.42,11,20,t,t,7,t,22,0,+
a,17.58,9,1.375,t,f,0,t,0,0,+
a,18.83,9.54,0.085,t,f,0,f,100,0,+
a,37.75,5.5,0.125,t,f,0,t,228,0,+
b,23.25,4,0.25,t,f,0,t,160,0,+
b,18.08,5.5,0.5,t,f,0,f,80,0,+
a,22.5,8.46,2.46,f,f,0,f,164,0,+
b,19.67,0.375,2,t,t,2,t,80,0,+
b,22.08,11,0.665,t,f,0,f,100,0,+
b,25.17,3.5,0.625,t,t,7,f,0,7059,+
a,47.42,3,13.875,t,t,2,t,519,1704,+
b,33.5,1.75,4.5,t,t,4,t,253,857,+
b,27.67,13.75,5.75,t,f,0,t,487,500,+
a,58.42,21,10,t,t,13,f,0,6700,+
a,20.67,1.835,2.085,t,t,5,f,220,2503,+
b,26.17,0.25,0,t,f,0,t,0,0,+
b,21.33,7.5,1.415,t,t,1,f,80,9800,+
b,42.83,4.625,4.58,t,f,0,f,0,0,+
b,38.17,10.125,2.5,t,t,6,f,520,196,+
b,20.5,10,2.5,t,f,0,f,40,0,+
b,48.25,25.085,1.75,t,t,3,f,120,14,+
b,28.33,5,11,t,f,0,t,70,0,+
a,18.75,7.5,2.71,t,t,5,f,0,26726,+
b,18.5,2,1.5,t,t,2,f,120,300,+
b,33.17,3.04,2.04,t,t,1,t,180,18027,+
b,45,8.5,14,t,t,1,t,88,2000,+
a,19.67,0.21,0.29,t,t,11,f,80,99,+
?,24.5,12.75,4.75,t,t,2,f,73,444,+
b,21.83,11,0.29,t,t,6,f,121,0,+
b,40.25,21.5,20,t,t,11,f,0,1200,+
b,41.42,5,5,t,t,6,t,470,0,+
a,17.83,11,1,t,t,11,f,0,3000,+
b,23.17,11.125,0.46,t,t,1,f,100,0,+
b,1,0.625,0.25,f,f,0,f,380,2010,-
b,18.17,10.25,1.085,f,f,0,f,320,13,-
b,20,11.045,2,f,f,0,t,136,0,-
b,20,0,0.5,f,f,0,f,144,0,-
a,20.75,9.54,0.04,f,f,0,f,200,1000,-
a,24.5,1.75,0.165,f,f,0,f,132,0,-
b,32.75,2.335,5.75,f,f,0,t,292,0,-
a,52.17,0,0,f,f,0,f,0,0,-
a,48.17,1.335,0.335,f,f,0,f,0,120,-
a,20.42,10.5,0,f,f,0,t,154,32,-
b,50.75,0.585,0,f,f,0,f,145,0,-
b,17.08,0.085,0.04,f,f,0,f,140,722,-
b,18.33,1.21,0,f,f,0,f,100,0,-
a,32,6,1.25,f,f,0,f,272,0,-
b,59.67,1.54,0.125,t,f,0,t,260,0,+
b,18,0.165,0.21,f,f,0,f,200,40,+
b,37.58,0,0,f,f,0,f,1,0,+
b,32.33,2.5,1.25,f,f,0,t,280,0,-
b,18.08,6.75,0.04,f,f,0,f,140,0,-
b,38.25,10.125,0.125,f,f,0,f,160,0,-
b,30.67,2.5,2.25,f,f,0,t,340,0,-
b,18.58,5.71,0.54,f,f,0,f,120,0,-
a,19.17,5.415,0.29,f,f,0,f,80,484,-
a,18.17,10,0.165,f,f,0,f,340,0,-
b,24.58,13.5,0,f,f,0,f,1,0,-
b,16.25,0.835,0.085,t,f,0,f,200,0,-
b,21.17,0.875,0.25,f,f,0,f,280,204,-
b,23.92,0.585,0.125,f,f,0,f,240,1,-
b,17.67,4.46,0.25,f,f,0,f,80,0,-
a,16.5,1.25,0.25,f,t,1,f,108,98,-
b,23.25,12.625,0.125,f,t,2,f,0,5552,-
b,17.58,10,0.165,f,t,1,f,120,1,-
a,0,1.5,0,f,t,2,t,200,105,-
b,29.5,0.58,0.29,f,t,1,f,340,2803,-
b,18.83,0.415,0.165,f,t,1,f,200,1,-
a,21.75,1.75,0,f,f,0,f,160,0,-
b,23,0.75,0.5,f,f,0,t,320,0,-
a,18.25,10,1,f,t,1,f,120,1,-
b,25.42,0.54,0.165,f,t,1,f,272,444,-
b,35.75,2.415,0.125,f,t,2,f,220,1,-
a,16.08,0.335,0,f,t,1,f,160,126,-
a,31.92,3.125,3.04,f,t,2,t,200,4,-
b,69.17,9,4,f,t,1,f,70,6,-
b,32.92,2.5,1.75,f,t,2,t,720,0,-
b,16.33,2.75,0.665,f,t,1,f,80,21,-
b,22.17,12.125,3.335,f,t,2,t,180,173,-
a,57.58,2,6.5,f,t,1,f,0,10,-
b,18.25,0.165,0.25,f,f,0,t,280,0,-
b,23.42,1,0.5,f,f,0,t,280,0,-
a,15.92,2.875,0.085,f,f,0,f,120,0,-
a,24.75,13.665,1.5,f,f,0,f,280,1,-
b,48.75,26.335,0,t,f,0,t,0,0,-
b,23.5,2.75,4.5,f,f,0,f,160,25,-
b,18.58,10.29,0.415,f,f,0,f,80,0,-
b,27.75,1.29,0.25,f,f,0,t,140,0,-
a,31.75,3,0,f,f,0,f,160,20,-
a,24.83,4.5,1,f,f,0,t,360,6,-
b,19,1.75,2.335,f,f,0,t,112,6,-
a,16.33,0.21,0.125,f,f,0,f,200,1,-
a,18.58,10,0.415,f,f,0,f,80,42,-
b,16.25,0,0.25,f,f,0,f,60,0,-
b,23,0.75,0.5,t,f,0,t,320,0,-
b,21.17,0.25,0.25,f,f,0,f,280,204,-
b,17.5,22,0,f,f,0,t,450,100000,+
b,19.17,0,0,f,f,0,t,500,1,+
b,36.75,0.125,1.5,f,f,0,t,232,113,+
b,21.25,1.5,1.5,f,f,0,f,150,8,+
a,18.08,0.375,10,f,f,0,t,300,0,+
a,33.67,0.375,0.375,f,f,0,f,300,44,+
b,48.58,0.205,0.25,t,t,11,f,380,2732,+
b,33.67,1.25,1.165,f,f,0,f,120,0,-
a,29.5,1.085,1,f,f,0,f,280,13,-
b,30.17,1.085,0.04,f,f,0,f,170,179,-
?,40.83,3.5,0.5,f,f,0,f,1160,0,-
b,34.83,2.5,3,f,f,0,f,200,0,-
b,0,4,0.085,f,f,0,t,411,0,-
b,20.42,0,0,f,f,0,f,0,0,-
a,33.25,2.5,2.5,f,f,0,t,0,2,-
b,34.08,2.5,1,f,f,0,f,460,16,-
a,25.25,12.5,1,f,f,0,t,180,1062,-
b,34.75,2.5,0.5,f,f,0,f,348,0,-
b,27.67,0.75,0.165,f,f,0,t,220,251,-
b,47.33,6.5,1,f,f,0,t,0,228,-
a,34.83,1.25,0.5,f,f,0,t,160,0,-
a,33.25,3,2,f,f,0,f,180,0,-
b,28,3,0.75,f,f,0,t,300,67,-
a,39.08,4,3,f,f,0,f,480,0,-
b,42.75,4.085,0.04,f,f,0,f,108,100,-
b,26.92,2.25,0.5,f,f,0,t,640,4000,-
b,33.75,2.75,0,f,f,0,f,180,0,-
b,38.92,1.75,0.5,f,f,0,t,300,2,-
